Speaker,Dialogue
Unknown,Interview Transcript
Unknown,Participant 13
Interviewer,"um so my first question is just do you mind introducing yourself and telling me a little bit about who you are, where you're from, and a little bit of your education and employment history."
Participant,"Yes, I was born in Taiwan, my name is [name], born in Taiwan and my father moved all his five kids here uh in the late 1980s. So, I went to Western Oregon University for undergrad and Oregon State University for a master's degree in psychology, statistics, and women’s studies. And my PhD, also from Oregon state, was human development and family science, so—and minor in psychology. And uh my employment history, when I was a student, I I worked at the library um at the university and I TA’d for Mandarin Chinese and uh. And then, when I was a graduate student and then I was a teaching assistant and I taught classes, and then before this job at University of Central Missouri which started in 1997, I was like part time at Washington State University and Oregon State University. So, yeah, I've been at UCM since 1997, and [name] was the search committee chair who hired me. So..."
Interviewer,"Oh, well that's good to know."
Participant,"he's responsible for everything yeah, just kidding. Just kidding."
Interviewer,"um, can you tell me a little bit more about your current role and um about the university setting where you work."
Participant,"Okay, so my current role, I am a professor of child and family development. We’re housed in the school of—it's kind of interesting we’re in college of business. But we are in the professional school, well you know, like we moved to college of business really because there was some kind of administrative—some kind of, I think it’s like a screw up. But we're happy at college of business and they have more money, so we've been treated well—I mean equally. And uh um yeah, well okay, I'm in charge of our college’s online teaching, so I have some relief time, in addition to my regular faculty position."
Interviewer,got it. Yeah.
Participant,yeah. Oh let me tell you a little bit more...
Interviewer,um can you tell me a little more... oh sorry.
Participant,"Yeah, but let me tell you I just thought about, you know, because this is a study about work right, I need to tell you a little bit about where I was. So I was faculty and I was program coordinator, or like a department chair—okay well, our program was small, so it was really not a department yet, so a program coordinator, so we have some administrative position. And then I, you know, like have different positions, such as like the faculty center president, the president of the college assembly, and for our professional organization, I was serving on the um board for a couple years. And then like various leadership positions and I was also elected as the interim principal for the Chinese School of Greater Kansas City. Um, like you know, that's like a one year—actually, I was the president of the board first and then later on like a consultant. It’s all voluntary work. And then become the interim principle because of, you know, there was a crisis. So, I think that this will give you a better understanding about where I have been at work. I've been pretty much in academia and also have some school connections with the local community and professional organizations that I'm a member and also have been elected for different leadership positions, and I also did international research. Well more with uh Sweden, I only been there twice, um so like a research grant you know, took me to Sweden and the research was about sexuality education. And I have done like a guest lecture in Japan, Taiwan, and Canada and then did research with faculty from Mexico as well. So, I think that's pretty good, you should have a good understanding."
Interviewer,"yeah, no, it sounds like you've done a lot, that's really great. I am interested in a lot of your work experiences, but for this I guess you could focus on mostly just the one that you're in right now. And uh can you tell me a little bit more about your department and your co workers, like how big is your department, how many people are you working with on a regular basis, and what is kind of that dynamic?"
Participant,"Okay, so our department is actually in a transition right now, we were at a school of human services, and we are child and family development program, but because of whatever budgetary issue or maybe a new provost did decided to do something new, right now, nobody at schools, we are all departments. So we are department of human services, and we're still a program. So I think that the funny thing, interesting thing about us is that we have always have our program autonomy, our program is child and family development and right now, we have nine full time faculty and all nine of us have terminal degree like, you know, like PhD. However, a couple are online only so we don't really see them. And then our program actually have undergraduate degree, and we also have masters in marriage and family therapy, so we have a few clinical faculty and we also have a clinic. Like on site clinic. So I don't really go for summer I don't go, I think I go like a once a month in the summer, or as needed. But regular semester, like a pre-COVID or after COVID, right after vaccination, I'm usually on campus. Because we also have two campus, you know. I'm usually on campus to have 2-3 times a week and then, who do I see depends on who are usually there, about two or three faculty. We have similar work schedules, so I see them on a very frequent basis, and right now I am the most senior faculty in my program because [name] left. So, and actually I hired well, I was the search chair to hire one that right now working. So, we have a small—we only have nine faculty and we have about 160 students and our graduate program is thriving. Yeah uh anything else I need to..."
Interviewer,"No that's great, uh can you tell me about the demographic backgrounds of your like department faculty, like uh age, gender, race? That kind of thing."
Participant,"Okay, so we, we okay—we try to, you know, we try to be very—like diversity and inclusion is very important when we are hiring people. So, around the 9 people that, you know, because I was chair of everyone. Okay, of course you know, we want to get the person of the subject area expertise, but we also have diversity inclusion in mind. Okay, so you have me, I'm Asian I am 56 but look 29. Okay, I'm just trying to think about in the office. Okay, then we have another, [name], she's probably in her mid-30s, she's Caucasian—she looks Caucasian to me, but you know I never asked her what. She looks Caucasian to me, I think she's from Kansas, I think she's Caucasian. Like she graduated from Kansas state, do you need her—like what demographic are you thinking age, race."
Interviewer,"yeah just age, race, gender is fine."
Participant,"Okay, all right, she is a she. And then we have [name]. [Name] is probably in her 30s as well, she's getting married in like two days, I think she identify with African American. Yeah, I think yeah she yeah she identify with African American. She's MFT. And then we have [name], who is probably in his late 40 or mid 40s, and Caucasian man. And we have [name] he is probably about 50 years old. He was born in I want to say Albania, so he is like Southern Europe but the funny thing is that he plays soccer, so all the years our students thought that he was probably Latino because he is so tan with dark hair. But I know that he's Eastern European. Okay so that's 5, okay, then we have [name], she was born in Iran. And she is probably her 40s, she's kind of newer faculty, but she didn't get her PhD until much—well you know, like she wasn't traditional, she didn't get her PhD right way, so she that's her. And then we [name], [name] is  probably early 30s or mid 30s. He just got his PhD, I mean he just defended it, like last month. He's finishing up like the submission, so he's like almost doctor. He is Caucasian. Well I—he looks Caucasian to me, I think he identifies with White. Okay, and then we have [name], she is biracial, and she's biracial of white and black. She identify as Black—not African American, because she says she doesn't know who's African American. She identifies with black, okay. So okay, and we have [name] she identify as a she and uh Nlack. So, that's 9 of us."
Interviewer,"yeah, no that seems like a very diverse group actually."
Participant,"Yeah. Because when we are hiring, we are very thoughtful about—and sometimes you offer, but they may not come. It's not like lack of trying, so we yeah, we really try."
Interviewer,"Um in the past, when you were younger, more junior faculty, was it like that, as well?"
Participant,"Oh no, in 1997, in [name]’s department, I... yeah, I was the only non-White faculty."
Interviewer,"And, was it mostly men, as well?"
Participant,"um, let me think. I think it's about, okay we have, yeah about half and half. Two women, three men."
Interviewer,got it yeah.
Participant,"yeah, but I do want to say maybe because of our field, okay. Like I say that in a positive way that, you know, like my colleagues—although they are white men—but they are like honorary minority women. Like, you know [name], you know like, he is um if... there is any equity or issue, inclusion, like he will be the one who notice first before me. So yeah, so I think that I'm very fortunate at the time that, although I was the only um minority woman at the time, I feel very I feel very supported, I have to say, I feel very supported. Within our program, within our program. And that's actually why I decided to come to UCM, because at the time I had other positions offered, and it’s really largely because of [name]. Really, largely because of [name], because you know I went to school in the State of Oregon, and then you know, coming to the Midwest I was a little bit reluctant.  I have always wanted to go to a teaching-focused university, which is UCM. And I wanted to be like somewhere that, you know, is kind of closer to the big city, but not in the big city. So UCM really was perfect and the only hesitation was, you know, would I feel comfortable there? And because really, you know, you’re environment is constructed by the people you work with, immediately. So yeah it was [name] and [name], they are retired, but I continue to have contact with actually [name]. He just came to my daughter's graduation party. And then [name], [name] is a like hippy, long hair, mustache, never wears socks, actually like Steve had a lot to do... I think [name] and [name] made me feel that if UCM can have like a kind person like [name], and then have a very wild horse like [name], it's probably okay [laugh]. Yeah, so yeah, so I was the only..."
Interviewer,"So, do you feel, like, in that environment like you can be yourself at work—"
Participant,Yes.
Interviewer,—or you feel like you have to act a certain way?
Participant,"No, actually I refer to when I had the five of us. We have [name] and [name], you know, that was my golden year, because my program was so supportive because I had a young baby at the time. They were so supportive, they would come to my house for department meetings, for program meetings."
Interviewer,"Oh wow, wow..."
Participant,"Yeah, yeah and I just need to do microwave popcorn. So they are so supportive. And then, in fact, that [name], you know [name], [name] actually watched my daughter sometimes."
Interviewer,Oh [name].
Participant,"oh yes, yeah and I remember [name], when I first met [name], he has some kind of gigantic cockroach for science experiment, or something. Anyhow, and he was showing me he was a child right. I was like, ‘Oh.’ I think he was like 14 or something and I think [name] was like tiny at the time, well, maybe like 7 or 8. I mean well, you know, because I'm short, I remember [name] was shorter than me so... yeah, at the time. How tall is [name] now?"
Interviewer,"Um not tall, he's maybe 5’8”."
Participant,"Oh well that’s, I’m barely 5’, I’m only 4’11” yeah."
Interviewer,"I’m only, I’m 5’2” so yeah."
Participant,"Okay, so at the time, I do not feel that at all. Maybe, it was naïve, maybe it was because I was very protected by the by the good people I work with at the time. But I do feel—I feel my gender and my race later on, and a bigger context. So..."
Interviewer,Can you tell me about that?
Participant,"Yes, so I feel my race. And my gender, for example, you know that English is not my first language, and also because of culture, that I may not be as forceful. I'm probably very polite. If somebody does something wrong, I will probably say, ‘Hey I heard this, and this, you might want to check with that.’ I won't come up with, like, ‘That's wrong.’ you know, not as direct. So that, um and I have found that some people will respect you no matter what. But sometimes, you know gender and race, they intersect, and there were times I feel that I wasn't heard. Or that I was, ‘I just said that. And you didn't hear me, but now, a White man say it and then everybody heard and say ‘That's a good idea,’ like are you crazy?’ So I think that was then, but then there were times like that, but now because I—and then also that when I just started my career in 1997, I was like 29 I was young. And I look young at the time as well. So sometimes, for example, I went to a meeting, and then the other faculty would say, ‘This is for faculty.’ or, ‘This is faculty parking.’ But I think those are kind of funny. Yeah, because when I think that when people do not know you, you know people process your appearance right, and we know age, sex, gender, those are very salient factors people look at. Okay so that's that."
Participant,"And I have, for example, you know I was at an office and asking some questions. The thing is, I don't think the receptionist know the detail. Okay, for example, I'm a professor, there are three different assessment I'm looking for. Okay, so I want assessment number two. But she didn't know there are three, she only knew one, so I heard her like you know call someone say, ‘Hey you know, I have a woman here, she doesn't know what she wants, can you come out to help?’ And I had to stop her and say, ‘Excuse me, I do know what I want, there are three different types of assessment. I would like to assess them on number two and, by the way, I'm a faculty, I'm a professor.’ But as you meet more of the people who don't know you, um maybe people have less training or sensitivity to be polite, you know. Sometimes people just make assumptions, you know um and uh... yeah. And uh really, she didn't know, like I wasn't confused, like she was the one who didn't know. But, like things like this, a lot of times like I'm not sure, is it just because of her ignorance, or is this my gender and my race have anything to do? Okay so like there are things like this and also, for example you know, if I am alone with my daughter, like we went to different places, people cut in line. Sometimes I would say, ‘Excuse me,’ and they say, ‘Sorry, I didn't see you.’ Or they look at me and they just ignore me. I just can't believe that. It's like airport, you know, and like usually White guy do this."
Participant,"Well, anyhow, but then it's like... okay I'm short and I don't know Kung Fu. To what extent do I want to fight this fight, and when I have a child with me. You know, and so sometimes I wish that if I'm not with my child, and this is a public place, I would probably do like some raising my voice. Like, ‘Hey, excuse me,’ you know, because we know I'm going to say, ‘Excuse me, you probably didn't know that I was here first. Could you go back, the line is here.’ But then, when people like look at me, and then just like continue, and I have a child and sometimes I just don't know. This could be a psycho. And you know, do I want to risk our safety? And then a lot of times in those kind of places, I just don't do anything because I just don't know who that person is. What that person could have done. So those kind of thing. Yeah, but then I will file, I would let the flight attendant know or someone know. But they usually can’t do anything, they can do anything so."
Interviewer,"Right, right, yeah, yeah um. What about with students, have you had any like racial comments or stereotyping that you've perceived from students that you teach?"
