Speaker,Dialogue
Unknown,Interview Transcript
Unknown,Participant 17
Interviewer,"Okay, so first of all, do you mind introducing yourself and just telling me a little bit about who you are, where you're from, your education, and brief employment history?"
Participant,"Sure that's my name is ___. Currently, I’m a VP of corporate legal at (company name) Therapeutic, a biotech company in Cambridge. I grew up in North Carolina when I was younger. So I was born in Korea. I moved to North Carolina when I was about a year and a half, and I spent about 11 and a half years there, and then I moved back to Korea when I was 13. So I kind of did, I think, the reverse of a lot of people like Asian Americans in the United States, and I actually had to learn Korean and learn about Korean culture when I was a teenager, which was not probably the easiest thing at the time, but I went to junior high, high school and college in Korea, and then I started working at a big multinational company for a few years and decided that I wanted to go to law school in the United States. So I moved to New York to go to law school, and then I got a job at a big law firm in New York City, and I was there for a couple of years before the firm that I was at opened an office in Seoul Korea. So without…so I went back to Korea to work in the film office and be part of like the first team heading that up for six years and then… So family, like my family, Like my husband and my two children decided we wanted to go back to the States, and spend more time with my husband and researchers here, so we moved back to the Boston area for about four years ago, and we've been here, ever since."
Interviewer,"Great, yeah. so in your current role as vice VP of corporate legal, what exactly does that mean and what do you do day to day?"
Participant,"Yeah so I joined the company name after we did our IPO, so after we went public, and my background is in corporate security, like securities offering and SEC, Corporate Governance public disclosure, that kind of area of the law. So I do a lot of work relating to our external communications and SEC filings, like press releases and public disclosures. I'm very involved in that. I'm also involved in any financing transactions that our contemplating are doing, or other strategic transactions and collaboration that we're working on. I'm also… because we're a pretty small legal team, like our company's about 300 employees, and we have about 910 people on our legal team, I'm also involved in a lot of non-corporate and security matters, but also like women and other aspects of the law that… I feel like I'm branching out into from with my specialized area that I was focused on whenever that a law firm."
Interviewer,"Sure sure. So at your job, are you…you're interacting with other people quite a bit, right?"
Participant,That's correct.
Interviewer,"Do you interact with customers or clients, in addition to colleagues, or mostly just internal work?"
Participant,"It's mostly internal. Sometimes when we're working on some sort of strategic transaction and there, or like a contract negotiation, and I do work with external parties, whether it's their external counsel or the counterparty itself. They also communicate a lot with our law firm, so there’re external Councils."
Interviewer,"Gotcha um, how do you feel about your job? If you were to rate it on a scale from one to ten, what would you give it?"
Participant,I think I would give it a nine. I love my job.
Interviewer,That's great yeah.
