Speaker,Dialogue
Unknown,Interview Transcript
Unknown,Participant 19
Interviewer,"So, my first question for you is just can you introduce yourself and tell me a little bit more about who you are, where you're from, and your education and employment background."
Participant,"Sure I'm [Participant 19]. Born and raised in California. I had a 20-year career as a financial controller for enterprise before retiring and going to vet school. And I went to UGA just recently, and recently opened up my own clinic um here in Alpharetta, Georgia."
Interviewer,"Congratulations, by the way."
Participant,"thank you. Um I'm sorry, you said something else about educational background, if that's important I can reiterate, I can go over that too."
Interviewer,Um sure yeah.
Participant,"OK, so my undergrad degree is in sociology from UCLA. I have a master's degree from San Francisco State in Business Administration, and then I have my veterinary degree from UGA."
Interviewer,got it. Very interesting.
Participant,"I know, crazy."
Interviewer,"No, I love it. And can you tell me a little bit more about your current role and what you do at your own practice?"
Participant,"yeah so I'm the veterinarian and owner. I started this clinic. The seed was planted a couple years ago, but it recently opened, delay due to COVID. So we opened at the very end of March. And I'm the sole practitioner here, team of three employees and we specialize in low cost spay/neuter surgeries for cats and dogs."
Interviewer,"gotcha and you said you were a financial controller, what was that about? Like what was that like and what did you do there?"
Participant,"yeah so I got in uh a long time ago, 1993 I think. Maybe even longer I'm sorry, yeah 1993 I believe. When the company was really small and I started off in accounting, as an accounts payable clerk. It was a company that allowed me to grow and develop with them and so as they became larger, I moved up the food chain. Become a supervisor, a financial accountant, eventually a business manager, and then a controller and it's about learning how to run your own operations, like they're all separate entities and you have separate performance statements and profit and loss statements. And it's about managing a business with employees and it's essentially running your own business without your own money—so entrepreneurship."
Interviewer,"Sure, and this was out in California or..."
Participant,"Yeah. So enterprise is global, but I started off in California and it's a company where um promotions are based on the ability to be mobile and transfer. So started in California, went to Minnesota, then was promoted to Las Vegas, North Carolina, Montana, Georgia."
Interviewer,All over the place
Participant,"Yeah, all over the place and that's when I took an early retirement in 2009 and that's when I decided to go to that school. And since I was here in Georgia, I applied to UGA, in state tuition, can't beat that so."
Interviewer,Right yeah. Sure.
Participant,"yeah so and then I stayed here afterwards, because I like it here."
Interviewer,How do you feel about your current job and how did you feel about your previous role?
Participant,"I felt like I got very lucky in my previous role because I found a company that suited my desire to move up, and they rewarded the ambition, they rewarded your independence, they rewarded—you know you got in you got out of it as much as you put into it, and that was a relationship that I needed to have because I didn't want to wait for tenure, didn't want to wait for somebody to move on, didn't want my career to be affected by somebody else's termination or leaving. So it was a great fit for me. And I always felt like I got a fair shake um 90% of the time. It was—maybe still is—a very heavily um male dominated industry and there's no getting around that. But I felt like for the most part, things were very fair and things were handled very appropriately. And in my role here, obviously, as a business owner and as the person in charge, um I hope that my employees feel like things are fair and equitable but it’s just a different type of responsibility."
Interviewer,"Right, right. If you could rate your jobs on a scale from 1 to 10, what would you give them?"
Participant,"Right now, my job?"
Interviewer,That one and the previous one.
Participant,"The previous one, I would say, for all up until the very last year of my  employment, I would have rated it a 10. The last year kind of got a little choppy, yeah, which was probably the catalyst for me moving on. But here uh this is tricky, you know, it's hard, it's something that I haven't done, I never wanted to be a business owner, I always felt very comfortable playing, you know, the second in charge or the VP role, and this is just a little uncomfortable for me. So I'm like squirming at an 8 right now."
Interviewer,still getting used to it a little bit?
Participant,"Yeah, there's just a lot of things that go into this business that you don't—you realize what your deficiencies are. Like marketing is not my thing and it's not something I ever had to do except to hire a good marketing manager. And when you are like, you know, you are responsible for it all, then you end up having to do things that you're not really good at, and i'm not good at that."
