Speaker,Dialogue
Unknown,Interview Transcript
Unknown,Participant 2
Interviewer,"Yeah OK, so my first question is just, can you tell me a little bit about yourself, maybe some demographic information, a brief summary of like your education and employment, and whatnot?"
Participant,"Yes, so um I was born in China."
Participant,"I moved to the US when I was five. My parents came here for grad school um so I guess I learned English pretty early, so um yeah."
Participant,"I guess education-wise - went to high school in Florida, went to college at Cornell University in New York and majored in mechanical engineering."
Participant,"And then I got my first job out of college in Massachusetts. It was an engineering job for a company that does like automotive sensors and yeah. That was my first job, I was there for like about three years and then I moved to California, which is where I am currently and I've been at a few different jobs since then. Actually, quite a few. I don't think it's normal. But I basically switch jobs every two to three years it seems."
Interviewer,"It seems like in your in your line of work, it might actually be pretty normal."
Participant,"Yeah, yeah I think also like with our generation, right? Where we're like a lot of us just don't stay at the same job for a while, because it's hard to get like raises and promotions, and all that stuff um. So yeah I’ve been in the medical device industry, since I moved to California. So I've been there for about 9 or 10 years now, which is kind of crazy um but yeah. A few of the larger MED device companies, I was at St Jude medical, which is now Abbott. And I was also at Medtronic and more recently I've been working at more of like startup environments. I actually just started a new job three weeks ago."
Interviewer,Congratulations!
Participant,"Thanks, yeah so my startup wasn't doing you know too great so. I was worried that it was gonna die, so I found something else, it's another startup. But it's further along in the product development process so I'm not as worried about it folding."
Interviewer,Got it. Is it also like a healthcare related or?
Participant,"Yeah so I was previously in diabetes products, but now it's neurovascular stroke treatment devices so it's a little different but yeah."
Interviewer,"Got it, and what would you say is your capacity or your role or position that you're usually doing in these sorts of jobs?"
Participant,"Yeah so for the most part I've been in either like process or manufacturing engineering, which just means that I support the manufacturing of the products. So, a lot of the time it involves doing just you know day to day support of any production issues."
Participant,"And then also introduction of new products, I also do process development which just means you know, like you know, increasing our yields, capacity things like that."
Interviewer,"Oh wow—cool. That sounds really important. So you're at a new company now and for some of these questions you might not know, so you can also refer back to like your previous job or whatnot. But I guess, for your current job, do you know, like how big the organization is and like how many people you typically work with?"
Participant,"Yeah so the company I'm at right now is actually pretty small. It's about 30 people. 10 of which are production personnel so like operators, and then there's like 20-ish, I guess like office people. I don't interact with too many of them, I would say, maybe like six to eight people max?"
Interviewer,"And, and what capacity, are you like interacting with the six to eight people?"
Participant,"Yeah so um there's my manager who like who mentors me and gives me assignments, and then I also have like a quality engineering counterpart, who kind of I guess checks my work, essentially, is what is what quality does. And then, not at this job, but at my previous job, the other people I would be interacting with are just like people on my team who have a similar role or do what I do. At my current position it's just me."
Interviewer,So the other people that you would interact with just be like occasional not on a regular basis?
Participant,"Yeah, I think I do also interact with some of the operators just working with them on the process, but not a ton."
Interviewer,Do you ever have to interact with like clients or customers as well?
Participant,"I do not, which I'm pretty happy about."
Interviewer,Yeah? Did you in previous jobs or anything like that?
Participant,"Yeah just like I mean none of my engineering jobs, but like when I worked at like Publix for a summer. I worked at a takeout place for a summer, and you know I had to interact with customers there and it was just really unpleasant."
Interviewer,"Yeah I can imagine that. Well cool, so can you tell me a little bit more about like sort of the composition of the people you work with, like the demographics of the people you work with and what the sort of business culture is like, or like the office environment?"
Participant,Yeah sure. Actually I think I'll just go back to my previous experience because I don’t have a feel for my current one yet.
Participant,"Interview: Sure, yeah. That’s fair."
Participant,"So um my previous job, the environment was like mostly engineers, some like logistics like finance and clinical people but mostly engineers. I want to say, maybe like a third of them were like around my age or like you know from college to early 30s type of ages. It was actually pretty well balanced, as far as like male and female goes, which was pretty nice. So yeah I share an office with two other females. As far as other demographics, I want to say it was like mostly Caucasian, a few... like a handful of Asians. Um yeah not super diverse."
Interviewer,Like racially or in general?
Participant,"Racially yeah. I guess, like the as far as like the culture goes, it was just like a very collaborative environment. So you know we all sat in like our little cubes that were next to each other and it was pretty common to like, you know walk over if you had a question, or like um... Yeah I guess you know just a lot of...I mean I worked pretty closely with some with a good number of people actually so it was nice, it was pretty...I would say it was pretty fun. I mostly hung out with the people my age. But yeah, I mean people were pretty cool."
Interviewer,Would you say that you were like friends with your coworkers and did you ever hang out with people outside of work?
Participant,yeah so I have like um... let's see... probably like three or four coworkers that I became pretty close with. I actually joined a running group that one of them was part of.
Participant,"They like got a bunch of people at work to join so it's like every Wednesday, so we do that outside of work. Other than that, you know, we would get dinners occasionally. We actually did travel together. One of our contract manufacturers is in Arizona, so we would go out there pretty often. So I think being able to hang out there was pretty nice too. Going out to dinner and stuff like that."
Interviewer,"Did you ever get a sense that there were certain things that you shouldn't discuss with certain colleagues, or did you feel like you can mostly just be yourself?"
Participant,"um I actually felt pretty good about being myself, actually I mean, maybe I shouldn't have but, I was pretty open about my feelings about the company and, like other people. Like if I was you know complaining about people or something, I would be pretty open about it, and you know, usually they’re you know... they find it pretty easy to relate or like they'll complain with me and stuff like that. I know you're not really supposed to do that with coworkers, at least like that's what people tell me. They're like “oh you can't really trust your coworkers and stuff, like they'll go behind your back” and stuff, and I'm like I don't really think that was true, I think they are like legitimately my friends. So, I didn't feel any issues with that I think like towards the end of when I was there, we were all...like a lot of people were pretty frustrated with the company, so we were pretty open about like our salaries and you know other people's salaries, so I think we were actually pretty close."
Interviewer,"Yeah, yeah, and so it seems like a pretty open environment in general."
Participant,"mm hmm yeah but you know with a select few people. There's definitely others that you know I feel like I'm friends with, but I wouldn't share that kind of information."
Interviewer,"Sure yeah. In terms of emotionality and emotion in the workplace in general, do you ever feel like... Well, first of all, do you consider yourself an emotional person or are you the type of person who's maybe more private about your feelings?"
Participant,"Yes, so I think I have emotions but I do tend to hide it pretty well I think? So, like a lot of my coworkers, especially the ones I don't know very well, they just see me as really calm right? So like even if I'm really stressed, they don't really see that. They just think I have it all together. But you know the ones that I'm closer with I’ll be more open about like: “hey i'm really stressed or i'm really upset that this happened”. But for the most part, I would say that… I would say that I hide it pretty well."
Interviewer,Is there...Do you hide it intentionally or do you feel like that’s just something that naturally happens?
Participant,"um I want to say it just naturally happens because I'm just not like a very expressive person in general, so like even if I'm like really excited about something... people can't really tell. I just tend to be like very reserved in general I think, and I'm not sure like where that really came from. I think probably just like part of how I was raised, like I didn't have siblings right and I didn't really have anyone to express things to, so I just mostly like kept things to myself."
Interviewer,"Yeah, do you ever feel like that is an asset and, conversely, do you ever feel like it's a problem?"
Participant,"Um, I've seen people at work getting really emotional and sometimes like higher up people, like managers right, they'll get really upset and start yelling at people and I don't think that's really good. So I definitely feel like it at least has somewhat of an advantage, where like you know I can maintain like professionalism, because I don't you know ever... I don't have outbursts usually right. You know and meetings and things like that, like I'll do it on the side like with my own people, but you know in front of others. I think it's I think it's a good thing for the most part, I do kind of I mean... I'm not sure about like whether or not it hinders me. I’m not really sure. I can't really think of um... I'm sure there is there is a downside to it, but I can't really think of what that is right now."
Interviewer,"Maybe there's not. I mean it's a very particular environment too, so I think it probably depends... When you had managers or you know, people who would have these outbursts, did they have any consequences for that or were there any like social repercussions that you felt like occurred because they were, you know, too emotional?"
Participant,"Yeah I would say, probably just more of like social repercussions. So, like you know afterwards, people would kind of you know gossip and be like like: “whoa can you believe what he said?” and, like um... I just know they get criticized sometimes for being unprofessional, like you can't just do that."
Interviewer,Sure.
Participant,"So yeah I think that's probably the... I don't know, maybe some people don't mind it? I definitely don't think it's cool to do that."
Interviewer,Were you ever on the receiving end of that?
Participant,"I want to say not directly but like indirectly, definitely. And it, you know it makes me feel bad and feel embarrassed. I don't know that I really ever said anything about it, like called anyone else being like: “hey you probably shouldn't do that in front of all these people”."
Interviewer,Why not? Just didn’t want to?
Participant,"Well, I'm just really non-confrontational in general, so."
Interviewer,"Do you ever feel like you've been singled out at work or like there is a sense that you're different and, if so, in what way? And if not, I will I guess you don't have to answer that question."
Participant,"Singled out not really. I mean, do you maybe have like an example? I guess, I can't really think of any example."
Interviewer,"Not really, no. What about have you ever had a time where you felt particularly emotional at work, maybe you were really nervous or really excited or really irritable. Can you tell me a little bit more about what happened then?"
Participant,"Yeah sure, so I feel like for the most part, my emotions at work are just like... I mostly feel stressed. So, like working in manufacturing, it tends to be really fast-paced because you gotta you know meet your numbers and all that stuff and if issues come up... you know, they need to be solved really quickly. So, I think I've definitely had moments where I just felt completely overwhelmed, like there was too much on my plate. And when that happens, I tend to kind of just shut down a little bit. Like I just don't even know what to do, I don't even know where to get started. Which maybe, you know, isn't a totally bad thing, because then I can kind of like you know, take a bit of a breather and kind of reset a little bit. I think what does help in those situations is you know just taking a break and talking to other people about it."
Interviewer,"Yeah, um was there ever like a very particular time, where you felt like maybe more stress than normal?"
