Speaker,Dialogue
Unknown,Interview Transcript
Unknown,Participant 10
Interviewer,"So, for the first question, do you just mind introducing yourself and telling me a little bit about who you are, where you're from, and what your educational and employment background is?"
Participant,"Okay, yeah. I am - I have been working as an insurance broker for the last almost 20 years and before that, I've been working as an insurance adjuster for 10 years. I grew up in Japan and I finished my bachelor's degree there. Afterwards, I came here and I have a master's degree, and after that I’ve been working in the insurance industry."
Interviewer,"Okay yeah um, can you tell me a little bit more about your role at the insurance agency and what kind of agency it is, what kind of company and stuff?"
Participant,"We do handle commercial insurance. Sorry, so we don't handle like a personal order or personal homeowners, more like our clients are corporations. And then we are going to get the - we are the middleman and as a broker, we try to find the best-suited program for the corporation and negotiate with the various insurance companies and then present it to the client. So that's what we do, the risk management."
Interviewer,Got it. That makes sense. About how big is your company?
Participant,"Very big. Yeah, worldwide broker company with yeah maybe several you know... I don't know how many people, 50,000 employees?"
Interviewer,"Wow that's a lot. Now, on any given day how many people do you usually see?"
Participant,"Well, that's a weird thing about COVID, that the last two years, you know, we kind of you know switched to the work at home. So, I’ve been working at home for you know, mainly for the last two years. Before that, we have team like, you know, less than ten people team. I interrupted with them often, and then by email and telephone with other colleagues in various locations, including Atlanta, Georgia."
Interviewer,"Including Atlanta, got it. Oh, and where's your location right now?"
Participant,"Atlanta, Georgia."
Interviewer,"You're in Atlanta, Georgia. Okay got it, and can you tell me like basically what your colleagues are like on your team, the people that you're interacting with the most?"
Participant,Like a demographic wise or?
Interviewer,"Yeah, demographic wise, and like what kind of people, what kind of relationships they are with you?"
Participant,"Again, it's changed during the COVID. It's kind of weird that you know, some people left during COVID, some people hired, and some people joined. So, right now we have like a few young, you know young colleagues, like twenties. And then others, we have you know fifties and sixties. Male female ratio about fifty-fifty."
Interviewer,"Got it. Yeah um, how do you feel about your job? What do you like about it, what do you dislike, and if you could like rate your job satisfaction on a one to ten scale, what would you give your job?"
Participant,"I would say, eight. Very interesting job, interacting with people all the time, including clients and colleagues, insurance company. So there, excuse me. So many, it's a people, people job. But sometimes it's very stressful, we have to get to the very much details and sometimes we... hard to keep the due date, and you know sweat at nighttime. Did I miss that? That kind of feeling. So yes, very stressful but very rewarding work."
