Speaker,Dialogue
Unknown,Interview 33
Unknown,"Allison S: So to get us started, do you mind just introducing yourself to me and telling me a little bit about who you are, where you're from, and maybe a brief summary of your education and employment background?"
Participant,"Sure, I’m Participant 33, 48 years old. I have a BFA from Cornell and some post-grad work in Art Education at Arizona State University. Um, I have a decade worth of experience as a museum professional both in exhibitions and education, and I recently resigned during… Ah just right after Covid, this beginning of this year."
Participant,"Allison S: Gotcha. Can you tell me a little bit more about the role that you were in, and what you did day-to-day?"
Participant,"Sure, I was the Director of Education. I designed all educational programming from preschool to adult in terms of on-site programming at the museum, in the gallery, during school visits, or museum visits. I gave tours. I wrote curriculum for any school programs that we would offer. I often taught classes, or hired other educators to teach classes, and consulted on different committees in the community, specifically for Penn State University through their Medical center. I was on quite a few committees for selecting artwork that was research-based, that would be beneficial for patients and families in the clinical environment, and I also worked quite a bit with medical professionals in catering visits in how to use art as a sort of self-preservation, self-knowledge, communication, tool, also for honing their clinical skills as well."
Participant,"Allison S: Wow, it sounds like you were responsible for a lot of different things."
Participant,"With a very small staff. Yes, a lots of different, a wide range of responsibilities. But yeah,"
Participant,"Allison S: About how many people work there, in total?"
Participant,"Four full-time employees and a few handful of part-time employees, and then mostly volunteer based."
Participant,Allison S: Gotcha. How did you feel about your job overall like? What did you like about it? What did you dislike? And if you could rate it on a scale from one to ten. What would you have given it?
Participant,"I would rate it as an eight. It was very high, because it allowed me to use my education in my everyday career, and working with people around artwork was always the motivating factor. Um, I think that it, although it had its challenges. I feel like I was seeing the benefit of the work that I was doing during visits, during my work, I could see that I was making a difference in the community, and with a lot of students that were coming through. So that was very rewarding."
Participant,Allison S: Gotcha. And was there anything that you would change?
Participant,"The work environment was less than optimal, I would say, and I think it the challenges of working for a nonprofit often got in the way, because that we were always looking for funding. I never operated on a on a consistent budget. I was constantly having to design programs that would sustain themselves, which educational programs rarely do. So that was very frustrating and challenging to know that you could make even more of a difference if you had more resources, and they weren't always available to us because the arts were so somewhat harder to raise money than for say other health-related causes or basic needs for students. Those seem to come first. Um, even though there were certain areas that I thought our work were really beneficial, especially when you take into consideration some of the mental health and social challenges that were beginning to become a much more serious effort during the pandemic."
Participant,"Allison S: Right, right. when you say work environment, is that what you're talking about mostly the funding and the lack of resources? Or did you need something else by that?"
Participant,"I think it was challenging. I think the specific people that I worked with, and the fact that it was so small made it harder than some jobs to not let daily sort of social challenges amongst the people that you work with to get in the way. It was a very small environment and closed environment, and when you had interpersonal issues, they often had a drastic effect on what you were doing, and at times they could have potentially an effect on whether a certain program would get approved or not, or supported."
Participant,"Allison S: Oh, right, yeah. Can you tell me a little bit more about the people you were with and about the culture or atmosphere?"
Participant,"Sure, they were… We were considered, we considered, ourselves fairly diverse. It was three women, one man. The man’s identified as gay and our boss was, I’d say, late sixties, but my two coworkers were early twenties or maybe mid twenties when we started, so I was sort of in the middle in my forties, so I was really the only one in my I’m sort of stage of life, certainly. My other two coworkers that I did a lot of program development and shared staff duties with were much younger. They didn't have a family to take care of, and they're unmarried. My boss was married and had children, so we shared some of those experiences, but generally we were very… We had a very collegiate culture. We supported our, we supported all of our different programs, especially in the public eye, to make sure that people understood that it was a very well run and cooperative environment. I didn't always feel that that was the case behind the scenes. (laughs)"
Participant,Allison S: Sure.
Participant,"I felt like the, I felt like the energy was… I think we tried at the beginning of that sort of almost ten-year relationship, to be very social outside of work, and that wasn't always easy to maintain. And so, once the social relationship kind of drifted to just professional, I think it became much more challenging."
Participant,"Allison S: Hmm, interesting. What… Like how often did you have to interact with your coworkers? And did you also interact a lot with clients and volunteers? And in what capacity?"
Participant,"I certainly had daily involvement with staff. I often… We had staff meetings weekly, and other than that, most of my daily interactions was with either students or volunteers, visitors. I was much more stationed in the museum as opposed to back in an office somewhere. So, my daily responsibilities kept me very comfortably interacting with the public, and not necessarily um all day sitting in an office with coworkers."
Participant,"Allison S: Sure, sure. Did you feel like you could be yourself at work, or did you find that you had to act a certain way?"
Participant,"I definitely did not act the way that I would consider myself to be. I definitely… I could, I could maintain a humorous um… Again, a very superficial a relationship. But I went through a really long divorce, and I would say once I started that process, that was not something that people really wanted to be a part of, and that ended a lot of the sort of personal interactions. Then it became um very uncomfortable for everybody, I think, to… No one could really relate. And therefore people stopped asking personal questions, and it became quite a division between “this is my professional environment, and this is my personal environment,” and some of that was very appropriate. But I was going through obviously quite a lot of emotional stress, and there was very few opportunities to really express that or not that I asked for special attention, but I certainly kept that completely out of that environment."
Participant,Allison S: Was that difficult to do? Did you find that it was like taxing in addition to the stress that you were already experiencing to try to keep that hidden?
Participant,"Yes, I stopped maintaining any…I really had to throw up a wall, and I had to just make sure not to share a lot of what might be going on, and that was different. I think that was different, because I think people often knew what everybody had going on in their lives. And once it became very emotionally taxing, that was, that was more than what people really wanted to know about, so I very much turned all of that off, and then it became sort of work talk only."
Participant,"Allison S: Gotcha. Did your colleagues ever vent or complain to you about their personal lives, or about anything?"
Participant,"Yes, all the time."
Participant,Allison S: But you didn't necessarily feel comfortable complaining or venting about personal stuff back to them?
Participant,"Uh, I think I try to when I would complain or vent it. It sort of took a much more professional thing. It was something in the workplace that was bothering me, and I tried…Maybe I would mention something that was going on, but I would not dwell on the personal stuff certainly."
Participant,"Allison S: Sure, sure. What kinds of things did your colleagues talk about when they when they were, you know, ask you to listen?"
Participant,"I'd say the number one thing was cost of living versus what the money we were making. I think that really was a huge challenge for the younger folks. They um… We're finding it hard to have their own place manage all the things that they needed to do on the salaries that we were making, and I was, um, you know, married or going through the divorce. So, I think there was this feeling like I didn't really need the salary that I was getting as much as they did."
Participant,Allison S: You don’t think that’s how you felt or that’s how you felt? (...)
Participant,"I think that's how they felt. So, I mean, I think we all could agree that we all were not getting paid what we were worth. But that's for me, I'd had lots of experience working in nonprofit art museums, and I did not necessarily expect to have yearly cost of living raises, things that a lot of work environments seem to consider low and easy things that you would expect. Working in a nonprofit you were lucky if you were getting a benefits or a decent salary with a slight increase. My expectations, financially from the organization were far different than what they were for the young younger folks."
Participant,"Allison S: Sure, sure, that makes sense. Um, can you tell me a little more about the race, and like ethnicity of your colleagues?"
Participant,"They were all Caucasian. I was the only person who did not identify as full Caucasian. I’m biracial, so and I’m first generation. My dad was Filipino. He's now deceased. But he came over in the 50s and married my mom, who's white. My mom is still living, and I… For a long time, I thought that my ethnicity did not get in the way of things. I did not feel that by the time that I had left."
Participant,Allison S: Really? So what change do you think?
Participant,"Not exactly sure. Um, my… When I started working, we got a new boss, the boss that I had when I left. We had another employee, who was female and black, and my boss and that employee did not get along very well, and I've never felt that we never had a lot of friction. But I was a very aware, through the black employee, that there was she felt, a sense of unfair racist treatment from my boss. When she quit, I felt that tension. I felt like I was taking on that tension. As soon as that employee left, I felt like my boss had a much shorter temper with me. I felt like she said things that I did not feel like she would ever say or I had ever heard her say to other employees, things that were as little as short or short-tempered to brusque. Just sometimes quite hostile, and I started to think once that the black employee left, I started to think, “am I the only one who's getting this kind of hostility and lack of patience?” Um, I felt like my ideas were not given the same kind of attention. So that was when I really perceived that I might be being treated differently than my white counterparts."
Participant,"Allison S: Sure, do you have any examples that come to mind of these sort of interactions?"
Participant,"Um, (...) I’m trying to think of. (...) I’m trying to think of specifics. It was nothing gross, or grossly obvious, or obviously stated, because we were very sensitive to not necessarily call attention out to that. I think it was more a feeling of… I definitely felt like she felt she had to explain and defend herself to me more than the others. If without me saying “I don't understand what you're talking about.” Simple things: I am the only one that had…we all had art in our educational backgrounds. But I’m the only one that had professional experiences in a museum setting, including my boss, and I often felt like that experience was diminished, and I had to be… had people explain to me led by my boss of “why maybe an idea of mine would not work out because it wouldn't work out in a museum setting,” and I did not feel like that they had that understanding or experience to be explaining things to me that way, so I often felt like I was being treated kind of like a child, or having things repeated to me. Um I often… If a program was failing, for example, if there were not a lot of students signing up for a kids’ class, I was being held responsible for drumming up students or participants, so there was often a lot of frustration, If a program was not making a profit. And I felt like exhibitions weren't making a profit. The other educational program that my male co-worker was doing was not turning a profit. But for some reason my educational programs were expected to not only sustain themselves, but to now all of a sudden have some great profit that was going to make the museum more sustainable. (laughs) Um, there seemed to be a lot of expectations and a lot of disappointment and hostility if some tiny program wasn't sustaining the museum on a large-scale basis, and I felt like those expectations on me were placed on me, and they weren't placed on the other two employees. I did not ever experience any of them, having to justify things that they wanted to purchase for their programs or not being able to bring money or sponsors into the museum."
