Speaker,Dialogue
Interviewer,"Great. So I'm Allison, hi nice to meet you."
Participant,Nice to meet you.
Interviewer,"Um Iif you don't mind, to get us started, can you tell me a little bit more about you and who you are, where you're from, maybe a little brief summary of your education and employment background?"
Participant,"yeah um so. My name is [name]. I grew up around Cleveland Ohio in the suburbs. I went to school at the Ohio State University. I graduated in 2015 and then I took a couple years off where I worked in a medical lab, processing specimens at the Ohio State Western Medical Center for a couple years. And then I went to grad school at the University of Pittsburgh for a masters of health administration and that wrapped April 2020, which was a great time to enter the job market. I'm ethnically half Chinese, half Filipino, but both my parents grew up in the Philippines, so I guess culturally Filipino. Three older siblings, me and my next brother were born in the States and my two older siblings were born abroad, and so they went through the whole integration process, but I never had to deal with it. Does that cover I guess what you're looking for?"
Interviewer,yeah sure um. So do you consider yourself like 1.5 generation or second gen?
Participant,"uh I consider myself first generation. Because I have to me I think first generation is supposed to be after immigration, but then I know people have told me otherwise, but then people have also told me like the same way I'm conceptualizing it, so I don't really know, but I usually just say first gen."
Interviewer,gotcha gotcha um. And your parents were both born in the Philippines?
Participant,mm hmm.
Interviewer,"cool um. So tell me a little bit more about your current job like, what do you do there, what's your day to day look like, what's the company like?"
Participant,"I’m trying to make sure that it would be fine to say. So I work for health, I work for the Veterans Affairs Department like the Veterans Health Administration. There's a research center here at the University of Pittsburgh campus and it's called the Center for Health Equity Research and Promotion. I'm working as a research coordinator. And since I graduated in April 2020, they onboarded me virtually, and so I was on site, maybe for like a week, because you can't technically work from home until they like approve all your documentation and your trainings are done. And since then I've been like 99% work from home. Lately I've been trying to go back once a week because, like all of our team tries to go back on Tuesdays, so that we can have meetings and actually like hang out together and eat lunch together and stuff like that. But it's been pretty good. I mean it's interesting because just compared to what I hear from other people who are also working remotely, they'll say like ‘You know it's weird because I had these meetings with like 10 people and, like no one's cameras are ever on.’ And I'm like that's so weird, because how would they ever know where you are, though? Which I guess some people, they don't really ever have to, but like at least the culture and in the VA, everyone's cameras are just on, like we're just excited to see each other, I guess. Which I don't know if that's weird but it's kind of nice because looking at like black screens across the board is so uninviting I guess. But yeah I like it there, it's nice. They take pretty good care of me, in my opinion."
Interviewer,Can you tell me what you do like on a day-to-day basis? What sort of work you're doing.
Participant,"yeah so um so I work for two different bosses, like 20 hours a week each. One of them is a lot more administrative like for IRBs, so I take care of his are his IRBs, I format his manuscripts, I prepare his presentations that he gives. Now he's been traveling, giving more presentations in person again, like for conferences and things like that. For him it's kind of like a ‘Hey [Participant 28], I need something done, do you think you can get to it?’ It's kind of a lot more loosely structured, I guess. And then for my other PI, she runs high risk projects that are technically quality improvement for high risk veterans that are finding care in like the primary care setting. So a lot of that is like making agendas for meetings and then disseminating the minutes. Sub-management of a national investigator network to pull together people with similar interests to be able to have presentations and coordinating those. Making sure people are getting their analytical needs met. It's a lot more people focused and a lot of individual interaction, I think, and a lot of asking for things."
Interviewer,"that's fun. Um you mentioned that you liked your job, and that they treat you pretty well, can you quantify that for me on a scale from 1 to 10 what would you give your job?"
Participant,"Like a like an eight, I think."
Interviewer,pretty good
Participant,"yeah I would say it's pretty good. The only thing is, and this is pretty nuanced, but like there's always going to be a veteran preference for things. Like if you're applying for a job in the VA, up to a certain point, the veteran preference will always like add so many points to an application that it kind of pushes me out of the running. Up to like a certain experience point, or like when a degree is like absolutely necessary, you can't really say like well the veteran should win out for that. But I knew that going into it, so I wasn't really surprised, it was just something that I always had to keep in mind. And that maybe kind of hurts like my ideas of how long I'll be here like at the VA in general but. Like the benefits are always good. I think the pay is fair and the people are really like high quality."
Interviewer,"cool um. So when you're interacting with people like how many people do you see in a given day, do you interact with clients at all, or is it mostly just coworkers, and what sort of interactions are you having?"
Participant,"So it's usually coworkers. It's usually more front loaded in the beginning of the week so there'll be like three meetings on Monday, at least, and then there's usually one on Monday and maybe one or two on Thursday. And they're actually like mostly with the same people but, just talking about different projects and what we're trying to do. The end of our fiscal year is coming up in like the next 60 days, so there's a lot of reporting that we have to give to like our funding body to prove that we're doing what we said we would, and that our funding is still going to be good for like the fiscal year in October 1. So that's what we're trying to wrap our heads around, and so it just kind of puts a lot more meetings in the books but it's always with like my same supervisor, so we're just like ‘Oh, we're here together again.’ But just talking about something different. And we have a good relationship like working and I guess like as friendly as you can get in a work setting."
Interviewer,Would you consider any of your coworkers to be friends or do you kind of keep it at colleague level?
Participant,"So the age range is interesting. So for one of my PIs, I have a male PI and a female PI. And my male PI, I think he's seven or eight years older than me, we're both really cordial and we have shared personal information like he knows about my partner, and I know about his, on some level. And we hit it off pretty well, I think we're pretty casual each other. And then my female PI, I'm not sure how much older than me she is, maybe 10 years, and then my supervisor above me for her team, I think she's also like 10 to 15 years older. And then the other research coordinators or assistants that are under the female PI that are kind of like my level, they’re around my age, but younger. So I feel like I'm more likely to consider the ones on my same level, like in the structure organizational structure to be my friends. I would consider my main supervisor for my female PI as a friend because we check in with each other every week, and she is the one that dictates like the priorities for the week. So if anything happens that would kind of make me lose focus, like if I'm having a personal issue, I would tell her to be like ‘Hey, I'm all good for putting in 20 hours, but I'm going to be working at like 60% because like I'm having other things going on and I just can't really focus at work that much.’ And she’d be like ‘Okay that's cool, you know, just let me know if you need help getting through anything. I think really it's important to get through like the first two of these priorities, and then the rest can wait, if you had to prioritize and just make sure that you're good and taking care of yourself.’ And that always build a lot of rapport with me too."
Interviewer,"yeah that sounds like a pretty supportive culture in general that you have there. How else would you describe the culture of the work that you're doing, the workplace?"
