Speaker,Dialogue
Interviewer,"So, to start with the interview, do you mind just introducing yourself and telling me a little bit about who you are and a little summary of your education and employment background?"
Participant,"I'm just a note taker so I'm just jotting down all the points, just to make sure I cover the bases."
Interviewer,No that's perfect.
Participant,"yeah, so I am the Vietnamese-American, I was born here in Florida raised here. I received my bachelor's degree in health administration and I also received to my masters in health administration, as well. So that's education, work background, I guess I would count my years working for my parents at their nail salon. That was my official first job for a couple years in undergrad. And then I went on to work at my current university, at the time. Can you still hear? Sorry I thought I froze for a bit there."
Interviewer,Oh no I think you're good.
Participant,"Okay, I went on to work for student government at my university my last year of undergrad. And then, at the beginning of grad school I started working for Brooks Rehabilitation, which is a rehabilitation hospital system here in Jacksonville, in their outpatient setting. So I was there for about eight months, and then I realized it really wasn't a great fit. So I was able to get a job with Baptist Health, which is a nonprofit general hospital organization here in Jacksonville, in the operation side, so still outpatient. So all in all, I would say my healthcare experience totals up to about two years. And actually since I recently graduated, I was looking for a new opportunity that better aligns with my interest so next week, I actually start a new position with McKesson National Healthcare supply chain company, um that really sums up my work experience."
Interviewer,"Well, congratulations, first of all, on your new job. Can you describe a little bit about what role you're going to be playing there."
Participant,"yeah so my job title is associate analyst and from my understanding, I will be managing contracts between McKesson and local healthcare organizations here in Jacksonville. So, what they described is as soon as the sales team seals the deal that's when the customer will get handed off to the team that I'll be joining and we'll be communicating between menu between the manufacturing side and the client side. We’ll be ensuring that your delivery gets fulfilled within the time period that was promised."
Interviewer,"And the delivery, what is it that is being delivered again?"
Participant,Medical supplies.
Interviewer,Medical supplies okay.
Participant,"Yeah or technology. Yeah so that contract ensures that relationship and the hospital will be, you know, they'll call up McKesson and be like hey I actually need like 100,000 vaccine vials because it's flu season and we're giving out vaccines again. So McKesson you know they make the needles that administer the vaccines, they make the little bottles that hold the vaccine, they actually just don't make the medicine itself but it supplies all of the materials, the gauze, everything, the band aids that's required to administer the vaccine to patients—stuff like that."
Interviewer,"Right no, that makes sense. About how big is McKesson do you know."
Participant,"80,000 employees."
Interviewer,Oh wow it's so it's quite big.
Participant,"yeah, pretty much international."
Interviewer,"What about Baptist health, when you were working there, like how big was it and how many people did you work with on a regular basis?"
Participant,"Company wide, 12,000 people only local to Jacksonville and do you mean like how many people that I work with you mean in the team or department."
Interviewer,Mmm just who you saw on a regular basis.
Participant,"regular basis, I would say about 15 people."
Interviewer,15 people. Were they usually the same people or did you see different people?
Participant,Usually the same.
Interviewer,"gotcha. What about with your new job, do you think you're going to be seeing a lot of the same people or do you think you’re going to be interacting with customers who are different all the time?"
Participant,"I'm not 100% sure, because it is a hybrid role. I'm not 100% sure if we're all going to be in the office on the same day, or if we rotate. Haven't talked about that yet."
Interviewer,"gotcha. Um so, for some of these questions, it's going to be about your experiences, so you'll probably want to reference Baptist Health or your Brooks Rehab experiences because you haven't started at McKesson yet um. But I guess one of my questions is how did you feel about your jobs, did you like them, what did you dislike and if you could rate them on a scale from 1 to 10 What would you give them?"
Participant,"For I'll reference Baptist because I was there for the longest. I was there for a year and a half and most recent, I can recall the most experiences from them. So from a 1 to 10 I would give it, I would say... it's a 6.5, out of 10. It is a very much so a stepping stone role, which is why I decided to search elsewhere, even though I haven't really been in a position for a long. The position that I came from covered a lot of the same material that needed to I needed to excel. Um I actually kind of went from a harder job to an easier job, so I was able to learn very quickly, assimilate into the culture and whatnot much quicker. What I liked about the job was there was a lot of learning opportunity because it was an entry role, you know I did ask a lot of questions, even some that didn't really pertain to the role, but leadership was able to either answer it or connect me to someone that could answer it for me. You know very pretty flexible, I was full time student in full time school at that point, so they were flexible on you know if I really needed to take a mental health day. Or if I needed to leave early or come in late, they were very understanding about that, and I was able to flex my hours. I guess in in hindsight I'm realizing now that I'm talking it out, a lot of my other friends, they work in environments where their bathroom time is docked or their PTO has to be submitted like months in advance, whereas, you know, I could just text my boss like ‘Hey, I'm really not feeling good today mentally.’ You know, my other peers can't do that, so in hindsight, is a lot of flexibility. And I think it really just treated us as adults, really. Dislikes is there was a ceiling. There wasn't really a determined career growth or path and, although they did provide a lot of learning within the team in, the same energy wasn't put for learning about more roles within the system. I worked in a department with four different teams, however, we all affected each other, however, the teams itself were working in silos. So we didn't really have a clear understanding of exactly how we affect each other, we just had you know, ‘Oh, we have that group that hires physicians and we have one patient.’ And then my group comes in and we load up, you know, their patients. So I think the dislike for my job was ceiling and teams working in silos and I think the lack of push for internal development in the system."
Interviewer,gotcha yeah that's very clear um. Can you tell me more about the culture and like overall vibe atmosphere there?
Participant,"So the physical vibe, in terms of the cubicle setup and the carpet, cuz I'm very much so like physical and mental mindset. I was like, ‘This could use more color.’ But the atmosphere in terms of how it affected my work, it was fine, it was definitely quiet. And we all have like a bunch of those cubicles, however, my team, we had a joint cubicle where we could all turn around and see each other, so that was quite nice, it was definitely a more open concept. So atmosphere was fine, I would have liked a more open atmosphere. I think the physical walls created those silos in the team because they physically prevent us from really chatting with each other. But in terms of the culture, because of the silos, I felt like there were a lot of cliques. I don't think it was intentional but, again, there were physical barriers, and there was no real push for you to get out of your team and learn about another team, even though they were only five feet away. Yeah I would just say because of the silos there was just cliques, really, I wouldn't say it was to the point where it was super toxic or anything, but it just you know like once you find your people, that's your people, and it felt a little closed off, a little high-school-y. I would say, like that’s the culture, I mean you have some people who have handful of people who will never say hi to anyone, but most people would be like—you know we're from the South—so ‘Hi, good morning, how are you, how was your weekend?’ Majority of people were like that. But there were there were a handful of people who would just beeline for whatever they're going for, they don't care who or what you are, they’re just go into their destination and they don't care how they get there."
Interviewer,"I think there are those people in many organizations probably. What was your team like? Can you tell me a little bit more about your colleagues that you were working with most regularly? In terms of like what kind of people they were, like what your relationship was like, were you guys friends or would you consider them just strictly colleagues? Yeah."
