Speaker,Dialogue
Unknown,Interview Transcript
Unknown,Participant 6
Interviewer,"So, to start with, I just want you to give like a brief introduction to you, to who you are, to where you're from, to what you do, and maybe like a little bit of employment and education history."
Interviewer,"Participant (she/her): I was born in Santa Barbara California. Mid 80s, so I guess I fit that 90s child demographic. Spent my entire childhood in the Santa Barbara area. Went to undergrad at UC Berkeley. Majored in English. And then kind of languished a little bit during the recession right after undergrad. And then got pulled into my first job doing local level advocacy for children with special health care needs, and which pointed me in the direction of public policy, so I moved to Chicago and went to the University of Chicago's graduate school for public policy. Got my MPP there, and upon graduation was matched with a fellowship with the Federal Government in DC where I worked for the Obama White House for about five years implementing the affordable care act, working on health care policy, Medicare, Medicaid, public payer programs. Six years ago, I moved back home here to California, back in the Bay area, so I'm currently in San Francisco. And I’ve been in government affairs with a large biotech company since then."
Interviewer,"Oh, wow okay. That's so many things, um yeah, no that's really cool and so remind me again, how long did you say you have been with this current company?"
Interviewer,Participant (she/her): This is my sixth year.
Interviewer,"Six years ago, okay that's when you moved back. Okay that makes sense um, can you tell me a little bit more about your role in your current job, and also a little bit more about the organization?"
Interviewer,"Participant (she/her): So my current role, the title is Director of Public Policy, and what that looks like day to day is I'm the middle person in the go-between strategically in connecting the business part in the pharma company with the regulatory and healthcare reform environment at the state and federal government level. And so, in an environment where our country has a lot to say and a lot of opinions around the cost of health care, the role that drug pricing plays in the world of healthcare, I work for a company that makes primarily physician-administered drugs like cancer drugs, like drugs for multiple sclerosis or drugs for hemophilia. They're typically not drugs that you would pick up from the pharmacy, it's like you show up at a hospital and you sit in a chair for about six hours with an IV drip kind of thing. Very expensive treatments and usually for diagnoses that patients have little control over. So my role is in a longer-term strategic type of spot within the company where I'm thinking about what we can leverage as a corporate citizen in moving our healthcare system towards a more sustainable, affordable place. That means that I participate in a lot of conversations around how our products are priced. I am looped into a lot of our conversations in our pipeline development, whether that's something that we are developing and research and from scratch at our own benches, or if that's something that we are developing in partnership with someone else. And I'm sort of the person who translates for other research scientists what it's going to take in order for a new drug to actually reach patient, and what the patient’s experience is going to look like in the physical journey of receiving their care, how hospitals are set up, what the rules are incentives are for healthcare providers, and also all of the landscape around what it's going to cost whom at what point of the process, and what that financial burden looks like for patients, for insurance payers, for the government etc. So it's a very weird place to be in right now."
Interviewer,"Sure, yeah I can imagine that. In your day-to-day role, do you interact a lot with other people and in what capacity?"
Interviewer,"Participant (she/her): I do, and it's very strange because, as soon as we went into pandemic lockdown, I felt like I was more effective at my work because a lot of my communication and work streams have to do with bringing groups of people together. Often they're in different parts of the country—East Coast, West Coast type of thing—and being forced to go all virtual helped with a lot of that because it made it more seamless technology-wise and expectations-wise to bring someone who's based in DC to a conversation with someone who's based here in San Francisco. I would say 80% of my workday is interacting with someone or groups of people. And 20% is like heads-down work."
Interviewer,And those groups of people are typically clients or are they coworkers or a mixture?
Interviewer,"Participant (she/her): Predominantly all internal but because my team, and my specific role is not responsible necessarily for executing anything outside of the company, a lot of the times, I feel like the teams that I work with internally at my organization I approach as if they were my clients, in a lot of ways, because I work with like the medical part of our organization, or the marketing part of our organization, so it's, it's always another group that's outside of mine but still within the company."
Interviewer,"So in that case, are you interacting with like a lot of different people every day, or some of the same people over and over again, as well?"
Interviewer,"Participant (she/her): A little mix of both. Like I’m regularly introduced to new people but there's probably a core group of contacts that I'm in contact with on a regular basis across the year, and then with seasonality there are different groups of people that I interact with on a cyclical basis."
Interviewer,"Sure, so with these coworkers and with the people that you see more regularly are any of them like people you would describe as friends and people that you ever hang out with outside of work."
Interviewer,"Participant (she/her): There are one or two people that I have hung out outside of work, with the caveat that I don't really hang out with people period. I'm having a very, very close circle of friends with a small number of people, and we are all spread across the country, and so my personal, social style doesn't really involve getting together in-person with people other than my spouse. I do feel very close to a lot of these people in that within the context of the conversations we have at work, there is a fair amount of personal check-ins and there's a, there's a fair bit amount of sharing what's going on outside of work in some of those conversations."
Interviewer,"Sure yeah, and in those cases where you guys are checking in and where you feel close with your coworkers, do you feel like you can just be yourself, or are there maybe certain lines you feel like you can't cross because it's a work setting or you have to act a certain way?"
Interviewer,"Participant (she/her): With a subgroup of people, I feel very comfortable sharing both the level of detail of information and how I present it. In the concentric circles that move out from there. You can anticipate there's that kind of spectrum of how much I feel comfortable sharing or the way that I present."
Interviewer,Sure yeah yeah. Do you ever vent with any of your colleagues or listen to them vent to you?
Interviewer,"Participant (she/her): I listen to a lot of venting. I think that's one of my known roles on the team that I I'm on, is I've got a pretty empathetic ear. I don’t use my work colleagues as an outlet for venting personally. I turn to journaling, or art, or some sort of physical activity, just because I personally don't feel like that's the most productive way for me to deal with the situation. So if I'm in a venting place that is specific to a work item, I'll usually do my own processing of that in some way, and then out of that come up with a plan so that by the time I talk to someone I'm in like ‘here's what happened, here's solutions’ mode and I kind of skip all of that part of the interaction with people."
Interviewer,"So how, how is it that you ended up, I mean have you been kind of the person that is known that you can go to vent to for a long time, or is that more recent and how did you end up being that person, you know?"
Interviewer,"Participant (she/her): I don't know how I ended up being that person. When I was new to the company, that was not my reputation. I think, over the course of getting to know people and working with a broader network, I work on a lot of different topics, and so, in all of these projects we run into snags and barriers, etc. And a lot of the times we go around identifying whatever it is that’s hanging us up, and I've noticed that over time I'm one of the few people who (doesn’t?) feel compelled to jump in with a statement or judgment or observation from my perspective, unless someone requests it. So I think over time, as my relationships have developed, people have just appreciated that my style is to hold space. And that probably just keeps attracting more of that, because when people vent, it's for the purpose of venting I believe, it's not really because they need something out of me, other than just listening."
Interviewer,"Sure yeah that makes a lot of sense. You mentioned having like a team, right? Can you tell me how many people are in that team, and also how big about is the organization that you work in?"
Interviewer,"Participant (she/her): My organization is huge. I don't have the number off the top my head, but I, like it’s national, its global it's like massive. My particular team, we've lost a few people in the last several months, I think, right now, we're at six. So we're pretty small relative to the rest of our organization."
Interviewer,Got it and on like a day-to-day basis how many people would you say you're working with pretty regularly?
Interviewer,"Participant (she/her): All of them. The way that we are organizing the type of work we do makes it so that we are not necessarily working with one another on the same project, but we rely on our expertise across the group in order to pitch in or troubleshoot, but the way that our work is distributed and delegated, again, we are mostly facing other parts of the organization. And so it's more like the six of us are dividing and conquering everything else in the organization needs our team to take care of."
Interviewer,"Got it, I see that makes sense there's—"
Interviewer,Participant (she/her): There’s a lot of commiserating that happens.
Interviewer,"There's a lot of what? Oh commiserating. Oh yes, yes, yes, well that's good because that's relevant to what I’m interested in. I'll ask you a little bit more about that later, I think, but first, can you tell me more about the demographic of the people you work with and like sort of the composition of the overall workplace? I mean, it could be like gender, age, race."
Interviewer,"Participant (she/her): Gender-wise we’re balanced um up until today. Today is the last day of one of our guys. But up until today, we were balanced gender-wise and we don't have anyone on our team who identifies as non-binary or otherwise. Racially it's really interesting that in the south San Francisco office like the headquarters where I am based, we reflect the demographics of the local area. So somewhere between 20 and 30% of our employees based here in the Bay Area are Asian. And the numbers for Hispanic and black employees also mirror the Bay Area. That varies depending on what part of the country our employees are located. I spent a lot of time working with our DC colleagues, and they are primarily white and male. And I don't have as many interactions with our global counterparts, but you can imagine that that's pretty diverse looking. Age-wise, my team is solidly within the late 20s to mid 40s, so generationally we're all very similar. The age range is much broader across the company."
Interviewer,Ah in other areas?
Interviewer,"Participant (she/her): Yeah and even within our leadership teams, I think gender-wise we're close to balanced. There are definitely more men than women still, but we're close to balanced. Representation racially in our leadership teams becomes more and more white as the levels go up. That's something that the company has specifically looked at in terms of collecting data and looking at recruitment, retention, and promotion recently. And so we're still in the early stages of figuring out exactly how we retain and promote leaders of color and more women, but right now I think our company probably looks a lot like other companies."
Interviewer,"Have they come to any conclusions during their kind of investigation into this about why it ended up that so, more, the further up you go, the more white it gets?"
Interviewer,"Participant (she/her): Their early insights that I have access to as like a minion employee is that our company culture very much reflects typical American corporate company culture. There are certain types of leadership styles that tend to get recognized more than others. When we're evaluating performance and we're looking for particular characteristics for promotion, we tend to favor certain archetypes. And so, for better for worse, those are easier things to pinpoint and work on. It's just that up until recently, our company hasn't made a concerted effort to identify exactly where that happens."
Interviewer,"Sure yeah so I mean this is sort of related to this, do you feel like race or age or gender or other identity features matter in terms of how people are viewed or treated at work? In your company, specifically, and not just in general."
Interviewer,"Participant (she/her): I think it's highly variable even within my company. I can think of examples where people that I would consider myself close to they have stories where they've personally experienced very obvious instances of bias. Whether that affected their career path or their willingness to stay or how they did their work or who their managers were. There were a couple of times, or upon my own reflection, I question whether some of that has showed up in my own experience. Obviously I would like to think that that wasn't the case, but If I were more honest with myself, I think that it would be more pervasive than I would want to admit. Off the top of my head like this week I can think of a couple of examples where in meetings, it was pretty clear the person that I was trying to influence had a clear bias against people with titles at levels below theirs, so there's a hierarchy dynamic and gender. So, again I didn't feel like it was personal to me because it applied to more than just me in that group. But I don't, I personally don't feel like my experiences reflect that the company is disproportionately bad like I've heard some super horror stories where it's like systemically tilted in a direction that people didn't like. I think my company is cognizant of where it falls short, which I'm grateful for um. But still not perfect."
Interviewer,"Sure, yea. What would you say about the company culture or like the social environment or sort of like the overall vibe or mood of the workplace?"
Interviewer,"Participant (she/her): I feel like my department is very supportive and inclusive. We've gone through a couple of reorgs over the last several years, and the morale has varied across the company depending on to what extent a certain department was affected. Through a lot of these transition periods, my particular department has heavily invested in mental health support resources professional career growth support so. And through all of that there's been a lens of inclusivity, diversity, and belonging. That's been really emphasized, I think that's something that was done well within my department. I know that is not the case with other departments. So it varies across the company. And I've forgotten the specific nature of your question."
Interviewer,"Yeah that answers it, I mean, would you say, like in general, you feel like your job’s pretty laid back, is it like kind of fun and friendly, casual or is it more professional, serious, formal, fast paced?"
Interviewer,"Participant (she/her): I think the environment lends itself to be more casual because we're in the Bay area, so you see people wear the puffer vests and the jeans, and so at least attire and appearance is a little bit more casual. The attitude culture of the company is very much a high achiever, fast paced, high pressure kind of environment where not only as a collective but individuals expect a lot of themselves/ourselves. I, being in the government affairs type space, like every day has got some fire drill because that is the nature and the flavor of the work where anything that comes out of DC is a slushy headline, is the thing that needed to be addressed yesterday. Somebody's ego is on the line, and it just feels very artificially high stakes. There are a lot of manufactured crises that come up in the part of the world that I live in. It's been a really good exercise in setting boundaries to be like, ‘Is this important? Is this urgent?’ And I think part of the reason why I can make this particular role sustainable for me is because I have a balance between the very rigid nature of public policy and DC balanced with a little bit more of the easygoing environment that exists in San Francisco. Part of the reason why I ended up wanting to leave DC after five years is because showing up to work every day in a suit and feeling like the world was going to end at the you know halfway through every workday was just not sustainable, for me, mentally. And there's just something about not having to wear a suit to work in California that helps."
Interviewer,"Sure yeah I can imagine that too. Um so I guess I imagine feeling stressed, or like the world's going to end, you know your previous job, and in this case in this current job, can you think of any scenarios or times when you felt particularly emotional at work—and that could be worried or sad or irritable, angry, or even excited and happy?"
Interviewer,"Participant (she/her): So I'm thinking of two different scenarios here. One is emotions that come up because of my work, where I work, what we do. it's extremely personal to me and to a lot of people at this company, a lot of the employees have some sort of personal story with why they want to be at a pharma company, and I would like to think this is one of the more unique aspects of my particular company. Why I chose to be part of this organization is a lot of people have personal connections either themselves or someone they care very deeply about who has experienced as a patient on one of these drugs. A lot of cancer survivors, and so the personal experience of either being a caregiver or having gone through cancer treatment is a highly motivating factor. And so a lot of times there are emotions brought up at work because we center a lot of our teambuilding, programming, and educational efforts internally around real stories from patients, and so there's a lot of emotional connection that happens there. Usually starts with anger frustration sadness. The point is to build resilience and hope, so like here's a story that worked. Here's a patient who managed to get a diagnosis and time had a treatment regimen that worked for them, and now they are living either with a managed illness or in remission etc. And so like ‘here is why your work matters’ kind of thing. More recently, I think, where are the emotions have come up are because of local, national, global events that happen outside of work. And what's really difficult is saying I'm still a human being, outside of work, a lot of this stuff affects me, and I'm still expected to show up and put in my you know requisite eight hours, whatever as if none of that was going on. That's really hard, and I know that I benefit greatly from a manager in a leadership team who recognizes that everybody is doing some version of that."
Interviewer,Can you give certain examples?
