Speaker,Dialogue
Unknown,Interview Transcript
Unknown,Participant 12
Unknown,"Allison S: Perfect, um so my first question for you is just do you mind introducing yourself and tell me a little bit about who you are, where you're from, and your education and employment history?"
Participant,"Yeah, so my name is Participant 12. I grew up in the San Gabriel Valley. I went to UC Irvine for undergrad and studied economics and I graduated in the year of 2017, so I've been out of school for five years now. So, I've been in the corporate workforce for the past couple years. I started at Edwards Life Sciences as an inventory analyst and was there for two years, then I switched jobs and joined Capital group in 2019 as a business solution design analyst. Long word for a business analyst. And then I have been there ever since, so I'm at capital group now."
Participant,"Allison S: And so, what does a business analyst do exactly? Can you tell me a little bit more about your role there?"
Participant,"Yeah so um, it's funny because the team, the way that they describe themselves to other teams in the company is like “we're internal consultants.” And so pretty much like the org that we support, the organization that we support, we help them solve problems. And so, mine was in the investment operations function, and so it's very operations based, and we tried to understand like certain processes and figure out where we could um... where we could help solve the issues and make it more like a streamlined process."
Participant,"Allison S: Sure um, can you tell me a little bit more about Capital group as well? Like what kind of company is it? What size? And yeah, like what is it like working there?"
Participant,"Yeah, so capital group is a wealth management company, so they sell like mutual funds, a lot of different big companies go to them and buy 401K plans for their employees, so they are a wealth management firm. What is it like working there? I've been there for three years now. They're a really big company, a lot of people stay there for a really long time, like the retention rate is really high because their retirement plan is really, what's it called... like beneficial for people. So, like a lot of people stay because they put a lot of money into your retirement plan and so like people retire from- like work there until they retire pretty much. And they've been around for, I want to say 90 years, like they started up in the 30s so super old company and it was like created by some white guys so like a lot of the different portfolio managers that work there are all white males pretty much, yeah. I will say the company's really big, and they’re global."
Participant,"Allison S: Um with your particular office, like what is it...  Is it all white males there too, or is it like more diverse than that?"
Participant,"Um I will say it's a mix. I think, yeah. I will... So where do I start? So, my three years at capital, I was in a different team for two and a half years and I recently switched roles, and so my previous role, that team I would say is pretty diverse in terms of like the make-up of the people like race and gender as well, and then now switching over to this new team, which is more marketing and sales, there are more white men and women. So yeah, I will say it's diverse, but the higher you go up in the leadership chain like you'll see less diversity and more like white people."
Participant,"Allison S: Sure, and do you have any sense of why that would be or just happens to be that way?"
Participant,"I think it just happens to be that way, like they are trying to diversify because like with this whole George Floyd thing happening a couple years ago, their push for DE&I has been like org wide, and so they are trying to not enforce it, but really ask people to think about how to diversify the leadership group. So, I mean it’s still early on to say, but I’m not sure like how that's going, but I know that it’s something that they're keeping in mind."
Participant,"Allison S: Sure, yeah. Um do you like your job, and what do you like about it, and if you could rate it on a scale from one to 10, what would you give it?"
Participant,"Um it's tough to say because I just joined the team, the team that I just switched to for like a month or so, but so far based off the meetings that I have been a part of, it seems like something that I want to do. So if I were to rate it it's probably like an eight and a half, out of ten, but we'll see if that answer changes in the next year or so."
Participant,"Allison S: Sure, what about your previous role, what would you give that?"
Participant,"It’s um... I would say, on average, was probably like a seven, and I say that because I started that role thinking like it was what I wanted to do, like it was a project type of role, compared to my time at Edwards it was very like repetitive, so I felt like I wasn't learning much. But then, when I started this new - the previous role at Capital Group, I felt like I was being challenged a little bit more and learning a lot of different things and then that started to plateau like after a couple of years, and then my manager also just I didn't feel like he was super supportive and wasn't like helping me grow in my career so that's what was a big turnoff for me as well and that's what made me want to switch teams."
Participant,"Allison S: Sure, sure. Um how is your current team and like how many people do you work with on a regular basis?"
Participant,"I would say based off the meetings that I've been on, it's probably like 10 to 15 people that i've been on calls with. So I would - it consists of like people from IT, my team, and a couple of like external consultants as well."
Participant,"Allison S: Do you ever work with clients or customers, or is it mostly just internal?"
Participant,It's mostly internal.
Participant,"Allison S: Got it um, what are the people that you work with like? Are you friends with them, or is it just pretty business professional? Are they similar age and race, gender, to you, or what's that like?"
Participant,"Um... They are not the same age as me, I would say I'm probably the youngest of the people that I've worked with, and then in terms of race, the developers are actually all Vietnamese and it feels like family because they remind me of like my uncles and then, yeah. So, in terms of age-wise like I'm the youngest, but they're a lot... they’re like middle-aged men, but they are Vietnamese and then there's a couple of Indians as well."
Participant,"Allison S: got it. Are you the only girl on the team, or woman on a team?"
Participant,"Um no, I am one of three on my direct team, and then the other two are like external consultants."
Participant,"Allison S: Got it um, can you tell me a little bit more about like the workplace culture or what the overall like vibe or atmosphere is like, or the mood at your workplace?"
Participant,"Um let's see I will... um they're very... It's hard to say because, like this new team that I'm on, I haven't gotten a sense of what their culture is like yet, but based off of what I've observed, the vibes I guess it's pretty casual, and I will say it's because my senior manager that I work with is a young Indian American woman and so she's like... and that's rare because at Capital Group, a lot of the senior leaders are much older white male like I said, and so she's very direct and it's just like when she talks to people it's like you're talking to a friend, but she also like gets things done, so that's kind of the tone that she sets with the people that we work with that I've noticed. So I will say it's like casual and friendly, but also like “hey we gotta like get work done” type of vibes."
Participant,"Allison S: Sure, sure. Um do you consider the people that you work with your friends? Or maybe the people that you used to work with, or just they're specifically your colleagues and that's kind of where you draw the line."
Participant,"I tried to make friends with the people I work with because I think that's what makes work enjoyable, and it's typically the people who are around my age that I make friends with. So, I haven't found that yet on my current team, but on my previous team, I did have friends that I like still keep in touch with now that I'm on this new team. So yeah, it depends on their age and also how I get along with them as well."
Participant,"Allison S: Sure, yeah. That makes sense. Um do you feel like, with your colleagues or coworkers or whatnot, you can talk to them about anything? Or do you feel like there are certain lines that you shouldn't cross?"
